"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-04-15T07:00:00.000Z","57.98","58.23","54.52","55.36","-5.38","-5.74","10,305,226"
"2024-04-16T07:00:00.000Z","55.32","55.43","53.98","54.89","-0.8490","-1.21","7,693,845"
"2024-04-17T07:00:00.000Z","54.59","55.10","52.16","53.30","-2.90","-3.26","9,845,261"
"2024-04-18T07:00:00.000Z","54.63","56.17","54.13","55.59","4.30","3.94","8,138,414"
"2024-04-19T07:00:00.000Z","56.72","57.01","55.62","56.32","1.31","0.9541","5,939,051"
"2024-04-22T07:00:00.000Z","57.86","58.53","57.47","58.23","3.39","3.03","6,526,204"
"2024-04-23T07:00:00.000Z","57.89","58.77","57.83","58.19","-0.0687","-0.4278","3,993,888"
"2024-04-24T07:00:00.000Z","57.78","58.03","55.70","55.90","-3.94","-4.29","8,711,542"
"2024-04-25T07:00:00.000Z","55.21","56.78","54.95","56.61","1.27","0.9110","5,531,255"
"2024-04-26T07:00:00.000Z","55.80","56.67","55.34","55.75","-1.52","-1.88","5,524,149"
"2024-04-29T07:00:00.000Z","54.67","55.27","53.96","55.08","-1.20","-1.56","3,955,568"
"2024-04-30T07:00:00.000Z","53.49","53.76","51.52","51.68","-6.17","-6.53","9,432,985"
"2024-05-01T07:00:00.000Z","50.43","51.92","49.43","49.72","-3.79","-4.15","10,748,508"
"2024-05-02T07:00:00.000Z","51.36","52.15","50.92","51.93","4.44","4.09","6,568,163"
"2024-05-03T07:00:00.000Z","53.55","54.50","53.51","54.38","4.72","4.36","6,707,489"
"2024-05-06T07:00:00.000Z","55.64","56.21","54.86","55.29","1.67","1.31","5,364,353"
"2024-05-07T07:00:00.000Z","55.61","56.31","54.93","55.16","-0.2351","-0.5942","3,743,383"
"2024-05-08T07:00:00.000Z","54.26","54.96","54.00","54.36","-1.45","-1.81","3,009,768"
"2024-05-09T07:00:00.000Z","53.69","54.88","53.21","54.66","0.5519","0.1928","4,510,459"
"2024-05-10T07:00:00.000Z","55.00","55.25","52.61","53.05","-2.95","-3.30","7,041,379"
"2024-05-13T07:00:00.000Z","54.95","55.55","54.73","55.26","4.17","3.81","4,596,934"
"2024-05-14T07:00:00.000Z","54.23","54.48","53.43","53.86","-2.53","-2.89","3,490,939"
"2024-05-15T07:00:00.000Z","56.28","58.19","55.96","57.85","7.41","7.05","11,275,082"
"2024-05-16T07:00:00.000Z","57.77","58.17","56.52","57.02","-1.43","-1.79","4,921,228"
"2024-05-17T07:00:00.000Z","58.11","59.12","57.61","58.79","3.10","2.75","5,347,016"
"2024-05-20T07:00:00.000Z","58.65","61.45","58.42","61.42","4.47","4.11","8,546,222"
"2024-05-21T07:00:00.000Z","62.11","62.43","60.52","60.60","-1.34","-1.69","7,211,536"
"2024-05-22T07:00:00.000Z","61.07","61.91","60.58","61.09","0.8086","0.4495","6,098,545"
"2024-05-23T07:00:00.000Z","60.62","60.73","58.37","58.72","-3.88","-4.24","5,549,942"
"2024-05-24T07:00:00.000Z","59.00","60.76","58.59","60.57","3.15","2.79","6,788,405"
"2024-05-28T07:00:00.000Z","59.83","60.01","58.78","59.83","-1.22","-1.58","4,699,331"
"2024-05-29T07:00:00.000Z","59.34","59.47","58.71","58.79","-1.74","-2.10","3,743,874"
"2024-05-30T07:00:00.000Z","59.69","60.91","59.54","60.15","2.31","1.95","6,963,713"
"2024-05-31T07:00:00.000Z","60.17","60.21","58.22","59.11","-1.73","-2.09","4,636,771"
"2024-06-03T07:00:00.000Z","61.01","61.57","59.99","60.55","2.44","2.08","4,297,097"
"2024-06-04T07:00:00.000Z","60.76","62.26","60.59","61.67","1.85","1.49","7,631,239"
"2024-06-05T07:00:00.000Z","62.29","62.88","61.57","62.38","1.15","0.7922","5,570,471"
"2024-06-06T07:00:00.000Z","62.31","62.70","61.58","61.65","-1.17","-1.53","3,937,188"
"2024-06-07T07:00:00.000Z","62.46","62.72","59.70","60.49","-1.88","-2.24","6,066,845"
"2024-06-10T07:00:00.000Z","60.59","61.40","60.46","60.79","0.4959","0.1368","2,872,563"
"2024-06-11T07:00:00.000Z","58.78","59.12","57.71","58.95","-3.03","-3.39","4,730,984"
"2024-06-12T07:00:00.000Z","60.59","61.29","58.78","59.00","0.0848","-0.2743","5,496,285"
"2024-06-13T07:00:00.000Z","59.53","59.74","57.83","58.13","-1.47","-1.83","5,571,579"
"2024-06-14T07:00:00.000Z","58.85","58.91","56.83","57.25","-1.51","-1.87","6,885,074"
"2024-06-17T07:00:00.000Z","57.40","58.83","56.85","58.31","1.85","1.49","3,505,948"
"2024-06-18T07:00:00.000Z","56.73","57.15","55.94","56.28","-3.48","-3.84","4,811,775"
"2024-06-20T07:00:00.000Z","57.14","57.26","56.40","56.89","1.08","0.7247","3,615,966"
"2024-06-21T07:00:00.000Z","55.63","56.28","55.37","56.14","-1.32","-1.68","4,535,883"
"2024-06-24T07:00:00.000Z","53.57","53.94","51.56","51.81","-7.71","-8.07","8,857,242"
"2024-06-25T07:00:00.000Z","53.52","54.58","53.32","54.17","4.56","4.20","6,859,362"
"2024-06-26T07:00:00.000Z","53.84","54.22","53.06","53.32","-1.57","-1.93","3,499,958"
"2024-06-27T07:00:00.000Z","53.85","54.57","53.63","53.71","0.7314","0.3723","3,392,209"
"2024-06-28T07:00:00.000Z","53.75","54.06","52.35","52.46","-2.33","-2.69","5,272,397"
"2024-07-01T07:00:00.000Z","54.97","55.87","54.62","55.28","5.38","5.02","4,314,584"
"2024-07-02T07:00:00.000Z","55.00","55.21","53.97","54.11","-2.12","-2.48","3,337,311"
"2024-07-03T07:00:00.000Z","52.74","53.14","52.38","52.87","-2.29","-2.65","2,880,931"
"2024-07-05T07:00:00.000Z","48.58","49.94","48.45","49.43","-6.51","-6.87","10,695,652"
